"ResponseID","ResponseSet","Name","ExternalDataReference","EmailAddress","IPAddress","Status","StartDate","EndDate ","Finished","informedConsent","age","studyExit","sex","country","selectionCondom","studyExit.1","information","Intention_intend","Intention2willing","Intention3expect","curBeh","Attitude_bad_good","Attitude_unpleasant_pleasant","Attitude_harmful_beneficial","Attitude_boring_interesting","Importancescale_unimportant_important","Importancescale_notessential_essential","Importancescale_notsignificant_significant","information.1","Injunctivenorm_importantpeople","Injunctivenorm_mostpeopleapprove","Descriptivenorm_closefriends","Descriptivenorm_peoplelikeme","Perceivedcontrol_forme","Perceivedcontrol_reallywantto","Perceivedcontrol_confident","information.2","Selfidentity_rarelythinkabout","Selfidentity_kindofperson","Selfidentity_importantpart","Selfidentity_doingbehaviorimportant","Selfidentity_seemyselfas","Selfidentity_behaviormeansmoretantheactself","Selfidentity_seemyselffollowingthebehaviorguideline","Selfidentity_concernedwithnotdoingthebehaviorenough","Selfidentity_concernedwithdoingtherightbehavior","Selfidentity_wouldfeelatalossgivingupwrongbehavior","Selfidentity_wrongbehaviormeansmorethanjusttheact","information.3","Past_haveused","Past_howoften","VerificationWorkerID","Endscreen","Browser.Meta.Info.Browser","Browser.Meta.Info.Version","Browser.Meta.Info.Operating.System","Browser.Meta.Info.Screen.Resolution","Browser.Meta.Info.Flash.Version","Browser.Meta.Info.Java.Support","Browser.Meta.Info.User.Agent","LocationLatitude","LocationLongitude","LocationAccuracy","NA..2","id","selfIdentitySelected","selfIdentity","attitude","importance","attitudeImportance","perceivedNorms","pbc","intention","pastBehavior","currentBehavior"
"5a6a532f8fe5b65ba3a535052813ba792c07527ad456d7488337e2eea317571a","217c8bcfa93ad4f5841db8960f237a51c0e19d7fc31e50578ec1b6a69e3e8462","2e1a524bd5cf86f3b356b9010b0d047d2f356672d080accd588e917e95a83792","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","d1eba61c49e02849b0eb811637264c99ba3a92d525332a80d8b0e0bd54333901","7967f4ee6a35663489495b245183f02ca898c8f07c4fe0e608a84e02ca2932e9","ef5067a424b3c98589e2068e400b26ac9dce10496d6ad8775f3f8aa270de0c0f","cf9400bc9d906285d2ed05888ca5b98596685d27adb827f6a6336f7bac4be39c","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9",1,23,NA,2,2,9,NA,1,7,7,7,7,7,7,7,6,7,6,6,1,7,7,7,6,6,6,6,1,3,6,5,7,6,6,6,6,7,1,5,1,7,5,"bd7494407fca89982f8210dc3b1adcf854c9cd28981fe0bbdb2adae95d8103a9","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","bdbf88b66ad3e15f2f7e1c97c4114db52db4a911c0bf7ad27861378f704a36b3","065238c2519372d77f700dc21b31675cbb874bbcf094f55af987a69c2ac2aee3","d4474fa388d09d275e673574810a4061d94c70807d6052ea5b796a9bcbb281ad","1e567a43e96f9fae73cb5adb6e02e8937030ecb7b704cb8a549db7e6bf8ce358","e840505b6d91e4c40492aa419cc55dfe460fa00aa3ef571217299e1ad38f9477","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","d25c0ef0b5429046e72f3e882c27e2743f7ce1a93727305d5a5e462410bfc95a","9e06e8e16076e684643950b6b353610a9f862c0d369da05c8cc87126324d0a5e","b571e1f43a7ce29f6449001598f5bb0b77b42f79447b0f15a3933bcd60cfb2a1","f07b8b08b11d9660222dbb6a7cdc4b6d5e173f708843b8fcf0775408011bf2f8",NA,"condoms_1",6.25,5.27272727272727,6.75,6.33333333333333,6.57142857142857,6.75,6,7,6,7
"489b98171379fb723c95bb34af142251f90ca64d47ad402b36f0afb1385ece62","217c8bcfa93ad4f5841db8960f237a51c0e19d7fc31e50578ec1b6a69e3e8462","2e1a524bd5cf86f3b356b9010b0d047d2f356672d080accd588e917e95a83792","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","7f4837ef15c044ad87b181f05a4592d0cef557510db8dc3ac20cf6723dfa221a","7967f4ee6a35663489495b245183f02ca898c8f07c4fe0e608a84e02ca2932e9","a7b8301232e51e74053de516960be7fc7d7d1e37468b870673879e957dee8c3b","d6c25c8b892f3c5235a955a4999b0cd7e13d0fc199031df0faad806de87b2e67","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9",1,21,NA,2,2,9,NA,1,5,6,5,6,6,6,5,6,5,5,6,1,6,6,6,7,5,6,5,1,3,4,6,5,5,5,4,6,5,3,5,1,5,6,"4a0964dd53340066b187cd66b17070f14c637a1451e30c277fd79572a7e2950c","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","bdbf88b66ad3e15f2f7e1c97c4114db52db4a911c0bf7ad27861378f704a36b3","065238c2519372d77f700dc21b31675cbb874bbcf094f55af987a69c2ac2aee3","d4474fa388d09d275e673574810a4061d94c70807d6052ea5b796a9bcbb281ad","1e567a43e96f9fae73cb5adb6e02e8937030ecb7b704cb8a549db7e6bf8ce358","e840505b6d91e4c40492aa419cc55dfe460fa00aa3ef571217299e1ad38f9477","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","d25c0ef0b5429046e72f3e882c27e2743f7ce1a93727305d5a5e462410bfc95a","43d3531fe224419a1bf6d4a0cad6fd007927d40f41eee27a52338c893140ed99","ad3ef1ebd368c160bad4abc8af2bdfda64d7dc351993059c23b96945ab1d66a0","f07b8b08b11d9660222dbb6a7cdc4b6d5e173f708843b8fcf0775408011bf2f8",NA,"condoms_2",4.5,4.63636363636364,5.75,5.33333333333333,5.57142857142857,6.25,5.33333333333333,5.33333333333333,5.5,6
"d7c58c8eadd734fb9a1f46ef8355c329f10a3ab7d904f7acda74990ff92d2a61","217c8bcfa93ad4f5841db8960f237a51c0e19d7fc31e50578ec1b6a69e3e8462","2e1a524bd5cf86f3b356b9010b0d047d2f356672d080accd588e917e95a83792","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","9b1208a6ac3aeff715260488d83ca70271abda4aea0bcca8cb22df32d22f3a8b","7967f4ee6a35663489495b245183f02ca898c8f07c4fe0e608a84e02ca2932e9","62e2c5428b1dff65b2a0d51d1d968f439c63319087e0613087ed7523f8a4ff53","9968cc27a331a7c8d551eedad9f9d1fc0171cd4222e215a81b5c64d3a25ddc62","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9",1,23,NA,2,2,9,NA,1,5,4,3,4,6,5,4,5,3,4,3,1,4,5,3,4,5,3,6,1,5,5,5,5,4,4,5,3,4,3,6,1,6,5,"1c8e6944fbdb86c2ebdb5db791b33b8bb46ccc6772cea6a3ac0108ccb011728a","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","e82a28f186c987d4b885ac04ee44f0c947371c2fc688fc454467eef053a2681e","e27fb5164dc3e1afdfd6ae0d9b6c27e66973d2d2bf148ba9044627b52c5be7f2","fc2733e62f678c6ae17ad65bc8fd6987c635d4d62af11c6bb5be980373248ba7","74503fcc81bf852878003f29f7aa1d5ad0e31dba341bb20c0a6fb46e7f91e1e2","b2a9b12fb5fe4b85064386aea48c034978f6d8adfd8c12901ea6eb409dde2885","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","06ef3f8dc0455c4d46cea33bbb302687c75d88a445592d371f4a7787074ae689","1c9d954f017a501ad0720b8c5a8e0ce4e757d4784d1f6a0adf4ca0336239eba5","b35c931f301a15aa6100790760eded1fcf3e3359c89aded0f3946be3c1449c60","f07b8b08b11d9660222dbb6a7cdc4b6d5e173f708843b8fcf0775408011bf2f8",NA,"condoms_3",4.5,4.45454545454545,5,3.33333333333333,4.28571428571429,4,4.66666666666667,4,5.5,4
"a052013d9241e7761dc3c466d551c5375633a964d52a9ed661dbcc0580e86a98","217c8bcfa93ad4f5841db8960f237a51c0e19d7fc31e50578ec1b6a69e3e8462","2e1a524bd5cf86f3b356b9010b0d047d2f356672d080accd588e917e95a83792","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","75decb2173c55b07577a171c2181b424099f744f040231f9ab2685be6e69a000","7967f4ee6a35663489495b245183f02ca898c8f07c4fe0e608a84e02ca2932e9","a5e46d73dca6f0579d376dd4378c99027180939b0e2f6e7454ee081598b40f44","811c17275f393fc1b03d4713dded9a9c1bdd0c912eed519eba86e6d4cd847710","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9",1,25,NA,1,2,9,NA,1,7,7,7,7,7,7,7,7,7,7,7,1,6,5,7,7,7,7,7,1,7,7,7,7,7,4,7,7,7,2,5,1,7,7,"ca78c8ddc8608c0b684a2d7d0323c5d726d51e5c5df034d73d0e2d04ec6b1468","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","bdbf88b66ad3e15f2f7e1c97c4114db52db4a911c0bf7ad27861378f704a36b3","065238c2519372d77f700dc21b31675cbb874bbcf094f55af987a69c2ac2aee3","d4474fa388d09d275e673574810a4061d94c70807d6052ea5b796a9bcbb281ad","869e20a4c64633c1984d7b5c0487058ab784079b97e9db17f12a46738dbbd227","e840505b6d91e4c40492aa419cc55dfe460fa00aa3ef571217299e1ad38f9477","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","147c2339dd3baf66f35fc9c83b99acfa80e8a3fbb9cdc721c7905d12faf247b6","ff4d6097a6dbe74a3976e3b54e46a6ba7bc6998e36d6f491ad2c16b393b8cfd5","a5e75df98bea18496fffda61e3f675c3068fe4ad41310c0fe1f80e993b144b9a","f07b8b08b11d9660222dbb6a7cdc4b6d5e173f708843b8fcf0775408011bf2f8",NA,"condoms_4",7,6.09090909090909,7,7,7,6.25,7,7,7,7
"29e90734e7b2b7b1641b20f6eab708b71aa40578587ea60a93b4d093805bc072","217c8bcfa93ad4f5841db8960f237a51c0e19d7fc31e50578ec1b6a69e3e8462","2e1a524bd5cf86f3b356b9010b0d047d2f356672d080accd588e917e95a83792","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","bac23cda3d91e3440ac5018050fbf4f1cb7130585048ce9d1fda49ae4358ab61","7967f4ee6a35663489495b245183f02ca898c8f07c4fe0e608a84e02ca2932e9","b27b1b5f6c13f533e48d3f017959424b6c2997cffe923f3a76cc0a0a0291cac6","effed70b2a0be9c90398f33ef81e73e95081d338b28d3537a93b3371d0ce629c","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9",1,25,NA,1,2,9,NA,1,6,6,6,4,7,7,7,7,7,7,7,1,5,5,5,5,7,7,7,1,5,5,5,5,5,5,5,5,5,3,5,1,6,5,"1f5dc80e949ef56912def833283f3c55490bc7904b4298a4255097eda1efdaca","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","bdbf88b66ad3e15f2f7e1c97c4114db52db4a911c0bf7ad27861378f704a36b3","065238c2519372d77f700dc21b31675cbb874bbcf094f55af987a69c2ac2aee3","d4474fa388d09d275e673574810a4061d94c70807d6052ea5b796a9bcbb281ad","79c1d81e2ba61c1a0f82e3581340b438b55bf2d24b87772d298fbc99de4204bf","e840505b6d91e4c40492aa419cc55dfe460fa00aa3ef571217299e1ad38f9477","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","147c2339dd3baf66f35fc9c83b99acfa80e8a3fbb9cdc721c7905d12faf247b6","43d3531fe224419a1bf6d4a0cad6fd007927d40f41eee27a52338c893140ed99","ad3ef1ebd368c160bad4abc8af2bdfda64d7dc351993059c23b96945ab1d66a0","f07b8b08b11d9660222dbb6a7cdc4b6d5e173f708843b8fcf0775408011bf2f8",NA,"condoms_5",5,4.81818181818182,7,7,7,5,7,6,5.5,4
"36d0798713a6f4b0e891032170d9a47f9c43785c8751ad0ab998c7423407f3e1","217c8bcfa93ad4f5841db8960f237a51c0e19d7fc31e50578ec1b6a69e3e8462","2e1a524bd5cf86f3b356b9010b0d047d2f356672d080accd588e917e95a83792","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","29de3bc69bee75897237f1059bbfa30339dc033059a7e545a8719004c0ebbabb","7967f4ee6a35663489495b245183f02ca898c8f07c4fe0e608a84e02ca2932e9","68af2fda7854bde4a6e5fc44e8e5ec8d85ae038b7a4e21e7ebe4ee56ceeb06c1","466b537684385dbf456c93a3f8e0b5ea275a571a5ec6d4d9226a6724e00a3ecc","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9",1,24,NA,2,2,9,NA,1,5,4,5,4,6,4,3,5,4,3,4,1,6,7,6,5,4,5,6,1,3,5,5,3,5,4,3,5,5,5,3,1,5,5,"fcfc841176ea6a3b5a69bd208b33a4cdab880251fecf35c3248bbafdb2984b81","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","16b12d5ff730da880f61d3f27c3f83d72bfaaeb0e14adb4ad20c0d13a3f3e19f","7cb542be836b93bd9f3d48bd8bd9f72f209fdfeab78ff049f1cbb6abedb02204","2c415ef89679e9ee8391888ad73bd0fe817932bba2e9d29c9935b017a8c2db5b","6dbd4172229ff3945999842eb24fafdb53bc1b04636a532c4588528e841c2644","2484abdadd69bb78775c5dee8859d99bd786da9490f9eb102330b74315c72a41","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","bb308c65211229a135140eccc3c703fd3e4f93e9d878a09d4312adf60a2985fe","1c9d954f017a501ad0720b8c5a8e0ce4e757d4784d1f6a0adf4ca0336239eba5","b35c931f301a15aa6100790760eded1fcf3e3359c89aded0f3946be3c1449c60","f07b8b08b11d9660222dbb6a7cdc4b6d5e173f708843b8fcf0775408011bf2f8",NA,"condoms_6",4.5,4.18181818181818,4.5,3.66666666666667,4.14285714285714,6,5,4.66666666666667,5,4
"b4816f4139121ce99dc54ed5c435c6c28bb6680ad51b8e1c6c329cc4c94b63e7","217c8bcfa93ad4f5841db8960f237a51c0e19d7fc31e50578ec1b6a69e3e8462","2e1a524bd5cf86f3b356b9010b0d047d2f356672d080accd588e917e95a83792","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","169106c71334eef573bb65c85d32b8c8576e2339c10155b5a16894096b6811c7","7967f4ee6a35663489495b245183f02ca898c8f07c4fe0e608a84e02ca2932e9","3f835b78176cc828dfeae8342b72c62b417b74ae52efa12ba0dc2f731f5b48b2","52ebdbe7e760614d850409ee526c21f42ca598691c51272b99263f099ce94393","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9",1,25,NA,1,2,9,NA,1,5,4,5,5,5,3,5,4,5,4,5,1,5,5,7,6,5,6,5,1,3,5,6,5,6,5,5,6,6,3,6,1,5,6,"74b0aa70b803cd87da89129e19a2eaece1bb9d78c480c220af8b67862a0243ad","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","bdbf88b66ad3e15f2f7e1c97c4114db52db4a911c0bf7ad27861378f704a36b3","065238c2519372d77f700dc21b31675cbb874bbcf094f55af987a69c2ac2aee3","d4474fa388d09d275e673574810a4061d94c70807d6052ea5b796a9bcbb281ad","79c1d81e2ba61c1a0f82e3581340b438b55bf2d24b87772d298fbc99de4204bf","e840505b6d91e4c40492aa419cc55dfe460fa00aa3ef571217299e1ad38f9477","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","d25c0ef0b5429046e72f3e882c27e2743f7ce1a93727305d5a5e462410bfc95a","1c9d954f017a501ad0720b8c5a8e0ce4e757d4784d1f6a0adf4ca0336239eba5","b35c931f301a15aa6100790760eded1fcf3e3359c89aded0f3946be3c1449c60","f07b8b08b11d9660222dbb6a7cdc4b6d5e173f708843b8fcf0775408011bf2f8",NA,"condoms_7",5.5,5.09090909090909,4.25,4.66666666666667,4.42857142857143,5.75,5.33333333333333,4.66666666666667,5.5,5
"9c03591e855da8f5dd20f74e8675714bfc35f6bd345fe4a19e5eef31eb98d735","217c8bcfa93ad4f5841db8960f237a51c0e19d7fc31e50578ec1b6a69e3e8462","2e1a524bd5cf86f3b356b9010b0d047d2f356672d080accd588e917e95a83792","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","4225e42677f77e0127a397a6f90909138da7785ec66b1288de2e1cbc23e24829","7967f4ee6a35663489495b245183f02ca898c8f07c4fe0e608a84e02ca2932e9","df9111d72cf4f642f9f59a05a2e8eafef4f234e092533c5375a501e24ab18f47","7ccadc3eb9da3331c3c74c8030bf7b33da1efbb4c0601d766404bf7221fbb927","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9",1,20,NA,1,2,9,NA,1,6,6,6,6,7,3,7,2,7,7,7,1,6,6,5,7,6,6,6,1,6,6,6,6,6,6,6,6,6,5,6,1,6,6,"2864088caabffd21f802ac01ebf651dc576e4e263e893520e8139fbc97bbbe4d","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","e82a28f186c987d4b885ac04ee44f0c947371c2fc688fc454467eef053a2681e","e27fb5164dc3e1afdfd6ae0d9b6c27e66973d2d2bf148ba9044627b52c5be7f2","fc2733e62f678c6ae17ad65bc8fd6987c635d4d62af11c6bb5be980373248ba7","74503fcc81bf852878003f29f7aa1d5ad0e31dba341bb20c0a6fb46e7f91e1e2","e840505b6d91e4c40492aa419cc55dfe460fa00aa3ef571217299e1ad38f9477","7967f4ee6a35663489495b245183f02ca898c8f07c4fe0e608a84e02ca2932e9","06ef3f8dc0455c4d46cea33bbb302687c75d88a445592d371f4a7787074ae689","1c9d954f017a501ad0720b8c5a8e0ce4e757d4784d1f6a0adf4ca0336239eba5","b35c931f301a15aa6100790760eded1fcf3e3359c89aded0f3946be3c1449c60","f07b8b08b11d9660222dbb6a7cdc4b6d5e173f708843b8fcf0775408011bf2f8",NA,"condoms_8",6,5.90909090909091,4.75,7,5.71428571428571,6,6,6,6,6
"e17b2939dd83a81b423357eb44ceddd9b575dba4bbd57791b8bf2007772c1665","217c8bcfa93ad4f5841db8960f237a51c0e19d7fc31e50578ec1b6a69e3e8462","2e1a524bd5cf86f3b356b9010b0d047d2f356672d080accd588e917e95a83792","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","6ce9ba071353a7e0f2ac52e7a8e1b7aef7323ac124203d40f3bac15482f04771","7967f4ee6a35663489495b245183f02ca898c8f07c4fe0e608a84e02ca2932e9","5aa713d81b76cba8193382e94c15353dcfac5fc06ffa31bdb4ef575ba44aafb1","22ce95e82099a7b1b08eab42bd9d64408eda59d6c71b63ad88b693da856793b2","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9",1,25,NA,1,2,9,NA,1,4,5,4,5,5,5,5,4,5,4,5,1,4,5,6,5,5,4,5,1,4,5,4,4,5,4,5,4,5,3,5,1,4,5,"34699f5d59a995e9e4486fd5293edb6412e30b857c388278d33270d239424e0f","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","bdbf88b66ad3e15f2f7e1c97c4114db52db4a911c0bf7ad27861378f704a36b3","383d6578071349561d841836cdafa7c16bc53efec2009ac3bcf63a908c0707b4","d4474fa388d09d275e673574810a4061d94c70807d6052ea5b796a9bcbb281ad","eaaecfbe3997ec327887f9ae252ad218dc6fea7b7e4ca90ef6e9f60be55f2b3b","e840505b6d91e4c40492aa419cc55dfe460fa00aa3ef571217299e1ad38f9477","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","84da790febde85b1ae19552e569e6768c781317b80ab09999c2438944b425b04","1c9d954f017a501ad0720b8c5a8e0ce4e757d4784d1f6a0adf4ca0336239eba5","b35c931f301a15aa6100790760eded1fcf3e3359c89aded0f3946be3c1449c60","f07b8b08b11d9660222dbb6a7cdc4b6d5e173f708843b8fcf0775408011bf2f8",NA,"condoms_9",5,4.36363636363636,4.75,4.66666666666667,4.71428571428571,5,4.66666666666667,4.33333333333333,4.5,5
"0717d494f83acd8a093fda3229fbdeb708337f205b2d94812b334180593fcd61","217c8bcfa93ad4f5841db8960f237a51c0e19d7fc31e50578ec1b6a69e3e8462","2e1a524bd5cf86f3b356b9010b0d047d2f356672d080accd588e917e95a83792","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","fee75ce7cab7ed50bb8ee356fc63a24662619acb98ebc5a7f32013fd0390dbd0","80ee8239984de83e48b60d8df234cb453562045b774611f53e9028e89b693095","7967f4ee6a35663489495b245183f02ca898c8f07c4fe0e608a84e02ca2932e9","41539665b7d03d6d3b8c30951c18eb3d136972c67d7d80bf83449e7bf0fdee00","e6c44a78c0e46f693a78ca70f733f0866949c72bcd79cf9e733b847c7a52684c","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9",1,25,NA,1,2,9,NA,1,5,5,5,2,7,6,6,5,5,5,5,1,6,6,6,6,5,5,5,1,3,5,5,5,5,5,4,5,5,3,5,1,6,5,"f1be9201179db23a5e18b1f5d9501a1f1b4d75253e42a35e2d7fd364882d7943","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","bdbf88b66ad3e15f2f7e1c97c4114db52db4a911c0bf7ad27861378f704a36b3","065238c2519372d77f700dc21b31675cbb874bbcf094f55af987a69c2ac2aee3","d4474fa388d09d275e673574810a4061d94c70807d6052ea5b796a9bcbb281ad","eaaecfbe3997ec327887f9ae252ad218dc6fea7b7e4ca90ef6e9f60be55f2b3b","e840505b6d91e4c40492aa419cc55dfe460fa00aa3ef571217299e1ad38f9477","ef2c2a6879b8440cb8e239815907301e0139df7fc0d1076ea973ac855b7401c9","147c2339dd3baf66f35fc9c83b99acfa80e8a3fbb9cdc721c7905d12faf247b6","1c9d954f017a501ad0720b8c5a8e0ce4e757d4784d1f6a0adf4ca0336239eba5","b35c931f301a15aa6100790760eded1fcf3e3359c89aded0f3946be3c1449c60","f07b8b08b11d9660222dbb6a7cdc4b6d5e173f708843b8fcf0775408011bf2f8",NA,"condoms_10",4.75,4.54545454545455,6,5,5.57142857142857,6,5,5,5.5,2
